LIR	WT_R1	WT_R2	Mut_R1	Mut_R2
osmp.Chr03:34221856--34222578,34223859--34224566	85	87	50	122
osmp.Chr03:342410--346408,357505--361501	4558	5193	5076	8173
osmp.Chr03:342783--343716,347045--347983	622	731	654	1100
osmp.Chr03:342863--343795,352626--353566	632	787	677	1151
osmp.Chr03:34297797--34300381,34310350--34312759	2618	2912	2768	4500
osmp.Chr03:34299411--34300119,34307970--34308667	2411	2649	2510	4053
osmp.Chr03:34308017--34308550,34315725--34316268	317	239	322	529
osmp.Chr03:34310550--34311197,34315725--34316367	307	231	311	513
osmp.Chr03:34359310--34359773,34359774--34360236	16	24	15	28
osmp.Chr03:343601--344342,356760--357507	2065	2063	2172	3390
osmp.Chr03:34428367--34428878,34429377--34429881	1418	1467	1845	3172
osmp.Chr03:35110122--35110530,35116791--35117197	7714	10947	9661	16089
osmp.Chr03:35145759--35147874,35157723--35159846	4388	4027	2472	4281
osmp.Chr03:35259446--35260966,35264781--35266330	2575	3069	2361	3972
osmp.Chr03:35304985--35305443,35306171--35306620	0	3	6	5
osmp.Chr03:35308203--35308644,35309045--35309471	1747	1894	2185	3338
osmp.Chr03:35342339--35342827,35342832--35343316	12	9	18	19
osmp.Chr03:35538048--35538503,35544650--35545106	5577	6214	5606	9789
osmp.Chr03:35538048--35538503,35548375--35548832	6810	7551	6559	11642
osmp.Chr03:35538048--35538738,35544322--35545106	5581	6200	5408	9774
osmp.Chr03:35538048--35538738,35548038--35548832	6765	7551	6559	11585
osmp.Chr03:3580412--3581474,3594186--3595234	4543	3690	2588	3793
osmp.Chr03:35862172--35862587,35863217--35863675	330	752	493	805
osmp.Chr03:3587998--3589060,3594186--3595234	3338	2682	1785	2417
osmp.Chr03:35914203--35914667,35916748--35917215	8512	9822	11035	18431
osmp.Chr03:35963500--35964028,35964319--35964846	134	179	93	211
osmp.Chr03:35971292--35971716,35972521--35972930	91	93	163	250
osmp.Chr03:36627572--36628232,36629772--36630432	389	487	520	749
osmp.Chr03:36629750--36630509,36632191--36632957	132	124	189	264
osmp.Chr03:37205734--37208412,37209374--37211967	1594	1957	1942	2924
osmp.Chr03:37261694--37262249,37262995--37263547	38	28	36	34
osmp.Chr03:37349363--37349841,37350554--37351043	150	255	420	532
osmp.Chr03:37369216--37369647,37374946--37375375	4396	4853	4302	7463
osmp.Chr03:37373832--37374263,37374946--37375375	3145	3244	2937	5094
osmp.Chr03:37651199--37651772,37652027--37652584	1338	1213	1542	2068
osmp.Chr03:37745746--37747088,37750443--37751809	300	348	326	571
osmp.Chr03:38469580--38469981,38475848--38476249	3650	3756	3585	5917
osmp.Chr03:38473715--38474267,38475304--38475856	2114	2418	1886	3246
osmp.Chr03:38735513--38738772,38739335--38742621	5147	6444	5129	8413
osmp.Chr03:38738773--38739349,38742613--38743240	3961	5209	4102	6397
osmp.Chr03:38768555--38768954,38771280--38771684	2488	2372	2377	3885
osmp.Chr03:38771319--38771777,38773201--38773657	3370	2160	2177	3216
osmp.Chr03:419375--420417,431456--432499	6518	6016	2411	4201
osmp.Chr03:427011--428053,431456--432499	6392	5868	2349	3902
osmp.Chr03:4843861--4844558,4844630--4845321	3311	3779	3533	5886
osmp.Chr03:4845027--4845531,4847484--4847988	2089	1479	2559	4477
osmp.Chr03:4845133--4845635,4847478--4847989	1953	1365	2459	4294
osmp.Chr03:4904778--4905858,4916015--4917095	4716	6018	5683	9148
osmp.Chr03:5133026--5133438,5134447--5134850	9	12	32	47
osmp.Chr03:5150952--5151460,5152012--5152541	1109	1193	1454	1974
osmp.Chr03:5344689--5346489,5357209--5358991	43	50	74	46
osmp.Chr03:5345385--5346436,5353969--5355012	19	20	38	8
osmp.Chr03:5634435--5635442,5647560--5648557	11735	10538	8652	13034
osmp.Chr03:5662125--5662612,5662669--5663148	124	91	96	157
osmp.Chr03:6070306--6071034,6076994--6077696	2186	3121	3092	5181
osmp.Chr03:6794107--6794510,6804367--6804780	1569	1878	1956	3339
osmp.Chr03:7129155--7129609,7141885--7142351	2838	2928	2465	4942
osmp.Chr03:7129864--7130288,7140432--7140846	2836	2923	2465	4930
osmp.Chr03:7253975--7255166,7264949--7266162	2219	2455	2398	3933
osmp.Chr03:7309120--7312457,7324046--7327420	4171	4880	3985	6562
osmp.Chr03:7447438--7447911,7447912--7448389	0	0	0	2
osmp.Chr03:7618518--7619149,7632904--7633598	4146	3818	3049	5024
osmp.Chr03:7658830--7659417,7659590--7660208	61	103	110	217
osmp.Chr03:783748--786814,791641--794706	1323	1568	1293	2299
osmp.Chr03:7951567--7952306,7952341--7953072	150	191	118	234
osmp.Chr03:8027216--8027711,8030535--8031035	422	457	272	988
osmp.Chr03:8027221--8027711,8039343--8039838	1889	1233	1351	2349
osmp.Chr03:8027712--8030092,8031316--8033693	900	948	734	1689
osmp.Chr03:8030084--8030539,8031031--8031486	50	56	69	148
osmp.Chr03:8031031--8031502,8038877--8039347	1654	904	1101	2147
osmp.Chr03:8031331--8033695,8036518--8038884	1590	895	1078	2147
osmp.Chr03:8031898--8033463,8042287--8043855	2614	2122	1760	3064
osmp.Chr03:8042049--8046260,8055058--8059262	2007	2229	1383	2200
osmp.Chr03:8046618--8048512,8062993--8064907	2163	2440	1681	2836
osmp.Chr03:8048507--8053143,8055064--8059674	1771	2063	1241	2211
osmp.Chr03:8048924--8053178,8065676--8069908	2314	2571	1704	3052
osmp.Chr03:8049200--8050731,8061197--8062725	1972	2204	1520	2605
osmp.Chr03:8057450--8058983,8071817--8073340	2174	1731	1647	2887
osmp.Chr03:8059674--8062992,8071549--8074863	1927	1537	1478	2840
osmp.Chr03:8068097--8069629,8071817--8073340	1340	870	928	1854
osmp.Chr03:8069905--8074863,8088205--8093168	2561	2375	1868	3962
osmp.Chr03:8074868--8075313,8078108--8078554	456	399	425	1035
osmp.Chr03:8074869--8075326,8087064--8087523	994	1022	904	1764
osmp.Chr03:8078139--8085969,8099031--8106948	3192	3299	2541	4584
osmp.Chr03:8078550--8081490,8094338--8097279	1862	1938	1525	2786
osmp.Chr03:8232965--8233371,8233678--8234080	55	150	91	183
osmp.Chr03:8328464--8329603,8340817--8341926	2465	2202	2498	4191
osmp.Chr03:8328558--8329763,8340457--8341678	2402	2042	2340	3854
osmp.Chr03:8486022--8487576,8498130--8499638	8842	9642	9528	15626
osmp.Chr03:8486061--8487156,8491895--8492973	2298	3240	2957	5065
osmp.Chr03:8487930--8488969,8493971--8495009	3854	5024	4233	7183
osmp.Chr03:8487938--8488969,8500377--8501407	9015	9965	9805	16083
osmp.Chr03:8488969--8489491,8498563--8499085	7829	7848	7899	13075
osmp.Chr03:8488970--8489446,8491951--8492435	742	1026	1057	1711
osmp.Chr03:8489482--8490317,8497592--8498418	7782	7686	7695	12794
osmp.Chr03:8489493--8490327,8490820--8491744	618	751	818	1238
osmp.Chr03:8556345--8557374,8567705--8568752	5248	6838	6607	10072
osmp.Chr03:8650145--8651143,8661736--8662746	1947	1849	2798	4455
osmp.Chr03:8650297--8651350,8661614--8662657	1756	1558	2159	3502
osmp.Chr03:8979526--8979993,8980555--8981040	0	3	0	2
osmp.Chr03:8980555--8981040,8984552--8985034	17	26	9	22
osmp.Chr03:9064941--9065379,9065857--9066288	10	5	20	22
osmp.Chr03:9092578--9093262,9096935--9097624	1177	1155	826	1669
osmp.Chr03:9225630--9228286,9228851--9231511	655	440	800	1505
osmp.Chr03:9259951--9261373,9263267--9264687	681	622	702	1024
osmp.Chr03:9259951--9261373,9272333--9273755	1508	1253	1047	1678
osmp.Chr03:9261374--9272337,9273756--9284717	2044	1713	1688	3022
osmp.Chr03:9270441--9273755,9281406--9284717	1364	1237	1232	2302
osmp.Chr03:9391604--9392041,9392605--9393060	911	1086	1583	2338
osmp.Chr03:9588976--9590401,9595895--9597347	3557	3893	3529	5539
osmp.Chr04:10144603--10145583,10151681--10152679	1387	1524	1361	1888
osmp.Chr04:10159338--10161125,10172116--10173866	1968	2337	2097	4183
osmp.Chr04:10159339--10159764,10171689--10172115	1907	2200	2024	3827
osmp.Chr04:10161211--10162338,10169624--10170766	1684	2029	1688	3632
osmp.Chr04:10166413--10166952,10173346--10173865	1009	1250	872	2224
osmp.Chr04:10166413--10167725,10170807--10172115	984	1006	786	2009
osmp.Chr04:10168124--10169269,10169624--10170768	449	560	275	1048
osmp.Chr04:10242888--10244190,10247740--10249046	977	961	825	1150
osmp.Chr04:10242888--10244190,10253808--10255113	1437	1559	1221	1544
osmp.Chr04:10244290--10245555,10246520--10247792	193	314	200	374
osmp.Chr04:10244290--10245555,10252582--10253860	943	978	637	1073
osmp.Chr04:10307168--10310031,10312473--10315267	1072	1224	561	1708
osmp.Chr04:10310280--10310740,10314813--10315268	879	927	363	779
osmp.Chr04:10436055--10437697,10450975--10452650	2086	2271	1801	2736
osmp.Chr04:10439571--10440276,10450976--10451724	1298	1228	1035	1527
osmp.Chr04:10590375--10592048,10604445--10606040	2815	3221	3444	5044
osmp.Chr04:10600969--10601416,10606919--10607355	830	1330	1209	1833
osmp.Chr04:10601409--10603786,10616428--10618793	3137	3505	4196	6365
osmp.Chr04:10602106--10603786,10604445--10606040	776	1154	1077	1702
osmp.Chr04:10606953--10607353,10618794--10619197	2300	2203	3027	4558
osmp.Chr04:10616427--10618770,10629000--10631400	1554	1379	1797	2148
osmp.Chr04:10616428--10618310,10631400--10633289	1718	1605	1947	2580
osmp.Chr04:10616428--10618770,10620141--10622540	819	650	1240	1176
osmp.Chr04:10618306--10618789,10619233--10619717	279	275	224	367
osmp.Chr04:10701469--10701946,10703133--10703616	707	716	690	1150
osmp.Chr04:10706085--10707470,10717933--10719315	2949	2882	2553	4574
osmp.Chr04:10708713--10711543,10716502--10719293	2679	2627	2228	4544
osmp.Chr04:10712543--10713235,10719490--10720227	2482	2409	2069	4032
osmp.Chr04:10713998--10715411,10717672--10719062	1591	1461	1003	2406
osmp.Chr04:10729953--10730480,10731332--10731827	537	719	1096	1455
osmp.Chr04:10767842--10768288,10768324--10768768	15	20	18	50
osmp.Chr04:10772147--10773539,10776263--10777671	1698	817	1126	1643
osmp.Chr04:10818437--10824144,10830181--10835881	2206	2145	1698	4473
osmp.Chr04:10818438--10821259,10824146--10826988	1217	1097	1018	3316
osmp.Chr04:10824145--10830185,10835881--10841873	2706	2676	1858	2952
osmp.Chr04:10833064--10835880,10839051--10841873	1623	1662	1263	2079
osmp.Chr04:10848236--10848949,10849121--10849826	753	996	1337	2360
osmp.Chr04:10938564--10938985,10939387--10939811	1099	1044	1025	1691
osmp.Chr04:10976283--10977663,10980106--10981476	720	690	989	1655
osmp.Chr04:10980051--10980778,10993635--10994349	12732	13166	9409	15403
osmp.Chr04:10983673--10984837,10993157--10994326	10763	11154	7657	12033
osmp.Chr04:10986099--10986604,10992656--10993159	9754	10107	7151	11362
osmp.Chr04:11084603--11087579,11096133--11099113	1477	1282	1644	2225
osmp.Chr04:11089134--11089555,11098696--11099113	823	791	898	1480
osmp.Chr04:11090277--11091953,11096133--11097796	641	593	632	1090
osmp.Chr04:11090277--11091953,11105107--11106769	1402	1445	1257	2239
osmp.Chr04:11273403--11273846,11274425--11274875	1141	1385	1155	1824
osmp.Chr04:1139710--1140139,1140537--1140972	96	90	136	148
osmp.Chr04:11441197--11442569,11451257--11452622	1907	2063	1574	4647
osmp.Chr04:11450193--11450995,11451811--11452622	782	557	690	2563
osmp.Chr04:11451257--11451815,11454086--11454660	1006	829	862	3249
osmp.Chr04:11555095--11555574,11568576--11569055	1119	1320	1056	1870
osmp.Chr04:11744775--11745422,11756216--11756889	536	868	608	993
osmp.Chr04:11744778--11745322,11757235--11757811	549	865	560	1002
osmp.Chr04:11744778--11745422,11752441--11753129	532	759	567	929
osmp.Chr04:11748362--11749463,11755791--11756888	500	752	553	920
osmp.Chr04:11748364--11748928,11757235--11757810	494	795	551	942
osmp.Chr04:11748364--11749300,11752168--11753128	424	701	484	841
osmp.Chr04:11884813--11885237,11889599--11890004	589	821	587	1034
osmp.Chr04:11886266--11887219,11887955--11888894	393	576	363	694
osmp.Chr04:11886266--11887219,11899908--11900847	2777	2858	2130	3706
osmp.Chr04:11887531--11887959,11901961--11902377	2898	2741	2104	3539
osmp.Chr04:11887531--11888894,11897412--11898787	2465	2523	1974	3137
osmp.Chr04:11888783--11889588,11896569--11897372	1608	1633	1127	1850
osmp.Chr04:11896255--11897372,11900736--11901833	1252	1136	1198	1782
osmp.Chr04:11897412--11898787,11899484--11900847	1177	1103	1090	1608
osmp.Chr04:11899484--11899912,11901961--11902377	633	433	466	714
osmp.Chr04:11956465--11957725,11961595--11962943	4068	3829	2294	3914
osmp.Chr04:11959525--11960092,11972811--11973389	5170	4744	2973	4899
osmp.Chr04:11961591--11962943,11971024--11972289	5159	4729	2971	4890
osmp.Chr04:12137354--12139008,12152536--12154163	1980	1759	1667	2433
osmp.Chr04:12139672--12140219,12151184--12151710	1628	1407	1354	1822
osmp.Chr04:12145487--12147140,12152536--12154164	1373	1104	1292	1790
osmp.Chr04:12145798--12147159,12155176--12156543	2070	1881	1728	2603
osmp.Chr04:12147804--12148351,12151184--12151710	606	454	615	822
osmp.Chr04:12148354--12150204,12154168--12156039	790	1211	1089	1700
osmp.Chr04:12148356--12149219,12152514--12153350	598	645	739	1273
osmp.Chr04:12149259--12150672,12151209--12152626	440	391	465	672
osmp.Chr04:12496247--12496782,12505479--12506008	1082	1369	1037	2080
osmp.Chr04:12497421--12499104,12503011--12504679	826	1092	709	1607
osmp.Chr04:12548885--12549745,12553769--12554627	1858	2169	1709	3099
osmp.Chr04:12735312--12735800,12736522--12736984	361	447	518	775
osmp.Chr04:12746383--12748758,12750095--12752476	1221	898	657	1132
osmp.Chr04:12748559--12749164,12749529--12750133	83	89	83	216
osmp.Chr04:12845869--12850176,12861652--12866157	5607	5203	6229	10665
osmp.Chr04:12866961--12870111,12884382--12887539	10633	11590	10581	17486
osmp.Chr04:12875873--12879019,12884384--12887539	9659	10829	9873	16239
osmp.Chr04:12907809--12908647,12914271--12915108	1382	1464	1127	1956
osmp.Chr04:12922972--12931637,12942824--12951306	3955	3651	2777	4048
osmp.Chr04:12971931--12972368,12978919--12979360	1705	1877	2186	3304
osmp.Chr04:13121453--13121903,13122410--13122861	865	1176	1366	1886
osmp.Chr04:13133856--13134555,13136972--13137678	985	1122	1406	2094
osmp.Chr04:13509008--13509431,13510490--13510910	122	155	258	400
osmp.Chr04:13617120--13617588,13618070--13618510	2290	2619	2435	3968
osmp.Chr04:13670341--13672159,13681237--13683079	603	592	633	1004
osmp.Chr04:13696507--13697788,13710063--13711293	1231	1236	1056	1756
osmp.Chr04:13699948--13700365,13710330--13710746	96	167	131	250
osmp.Chr04:13982995--13984038,13985146--13986244	919	1030	935	1615
osmp.Chr04:14240535--14241657,14251030--14252187	1028	978	1065	2082
osmp.Chr04:14248620--14249489,14258287--14259112	1452	1840	2140	2957
osmp.Chr04:14249380--14250502,14251030--14252187	355	198	646	1004
osmp.Chr04:14249380--14250720,14256884--14258245	1311	1737	2007	2725
osmp.Chr04:14375305--14375717,14379397--14379809	6917	9210	8384	13640
osmp.Chr04:14581627--14583724,14595529--14597702	3549	4833	4308	6463
osmp.Chr04:14601181--14601627,14601675--14602122	9	8	18	23
osmp.Chr04:14657884--14658419,14658676--14659217	124	180	92	203
osmp.Chr04:14779661--14780363,14781432--14782125	443	612	474	832
osmp.Chr04:14891577--14895193,14898342--14901972	25762	35315	32456	49615
osmp.Chr04:15088700--15089239,15089544--15090082	4	0	2	4
osmp.Chr04:15252107--15252804,15252805--15253522	69	108	99	224
osmp.Chr04:15325590--15327970,15341164--15343549	2082	2752	1445	3365
osmp.Chr04:15325590--15334687,15343526--15352619	2634	3334	1833	4110
osmp.Chr04:15334502--15336878,15341168--15343549	1566	1981	925	2280
osmp.Chr04:15334502--15336878,15350239--15352619	2041	2587	1341	3110
osmp.Chr04:15350239--15352619,15363004--15365383	4027	4966	3662	6247
osmp.Chr04:15350239--15353552,15362254--15365383	3997	4955	3638	6243
osmp.Chr04:15363840--15365155,15367107--15368416	1065	828	683	1501
osmp.Chr04:15384430--15386902,15399357--15401825	4580	4148	3061	4479
osmp.Chr04:15387111--15388124,15395226--15396244	2462	1905	1181	1240
osmp.Chr04:15388203--15389067,15400967--15401825	3929	3354	2544	3481
osmp.Chr04:15389065--15389535,15400338--15400828	3453	2937	2047	2638
osmp.Chr04:15400338--15401825,15410758--15412205	1190	1293	1338	2022
osmp.Chr04:15436551--15437254,15442650--15443396	3910	4986	4430	7700
osmp.Chr04:15436553--15437250,15446138--15446879	4964	6318	5399	9403
osmp.Chr04:1549504--1551299,1564894--1566688	8786	7827	6154	10185
osmp.Chr04:1551577--1553972,1562578--1564899	8749	7778	6077	10133
osmp.Chr04:15584388--15586695,15599605--15601963	1644	1726	1426	2225
osmp.Chr04:15711377--15712926,15717200--15718735	547	608	469	830
osmp.Chr04:16069331--16070633,16082693--16083975	2262	2147	2565	3988
osmp.Chr04:16070706--16071220,16081962--16082482	1904	1804	2160	3336
osmp.Chr04:16089589--16090268,16095571--16096250	241	326	301	562
osmp.Chr04:16460318--16460890,16461274--16461798	2238	2485	2444	4157
osmp.Chr04:16460318--16461018,16461207--16461798	2238	2485	2444	4157
osmp.Chr04:16617934--16618360,16624523--16624949	2735	2621	3199	4434
osmp.Chr04:16622360--16622771,16622783--16623219	101	104	75	173
osmp.Chr04:16623983--16624455,16624522--16624995	291	352	270	487
osmp.Chr04:16881234--16884073,16894530--16897355	2360	2114	1764	3100
osmp.Chr04:16893548--16894176,16903361--16903981	4338	3540	2872	4385
osmp.Chr04:16929299--16930323,16943972--16945015	14813	12676	10510	15657
osmp.Chr04:17023493--17025847,17035331--17037649	603	666	536	964
osmp.Chr04:17140352--17140946,17153588--17154178	5005	4738	5079	7324
osmp.Chr04:17459761--17462687,17475955--17478832	1331	1551	1371	2650
osmp.Chr04:17463002--17463421,17475512--17475949	1062	1219	1214	2319
osmp.Chr04:17500450--17501301,17508205--17509074	1613	1296	1374	2386
osmp.Chr04:17572831--17573259,17584718--17585121	279	246	243	415
osmp.Chr04:17573499--17574801,17583597--17584807	171	180	132	262
osmp.Chr04:17587121--17587541,17592219--17592644	4356	4160	2208	3461
osmp.Chr04:17590792--17591405,17591613--17592230	519	415	296	801
osmp.Chr04:17594697--17595232,17602680--17603215	1617	1068	641	2227
osmp.Chr04:17598928--17601869,17608022--17610964	2019	1659	952	2691
osmp.Chr04:17607814--17611622,17613712--17617496	1294	1201	1059	1543
osmp.Chr04:17610961--17611622,17622676--17623338	1647	1975	1409	2776
osmp.Chr04:17611581--17613712,17626778--17628937	2139	2677	1839	3539
osmp.Chr04:17611621--17613712,17620342--17622462	1584	1883	1288	2553
osmp.Chr04:17652913--17655756,17659959--17662810	2053	2102	1418	1664
osmp.Chr04:17685181--17688035,17701242--17704093	2546	1751	2650	4063
osmp.Chr04:17687363--17687930,17692693--17693277	479	413	366	628
osmp.Chr04:17696396--17699110,17705832--17708568	1168	964	909	1888
osmp.Chr04:17701241--17702655,17711275--17712705	1677	1540	1327	2491
osmp.Chr04:17701241--17705822,17718759--17723391	2586	1993	1786	3619
osmp.Chr04:17701242--17702111,17713579--17714461	1813	1563	1387	2576
osmp.Chr04:17703334--17704110,17710485--17711262	1457	1439	1007	2892
osmp.Chr04:17705798--17709432,17713579--17717214	1800	1525	1254	2184
osmp.Chr04:17708554--17709979,17711275--17712704	1132	1010	543	1290
osmp.Chr04:17708554--17710490,17721452--17723390	2147	1559	1278	2328
osmp.Chr04:17727893--17729517,17734398--17736034	1197	1101	857	1461
osmp.Chr04:17727893--17729517,17741442--17743078	1575	1630	1221	1990
osmp.Chr04:17728984--17731983,17732092--17735089	1150	1067	809	1442
osmp.Chr04:17728984--17731983,17739136--17742134	1473	1520	1134	1898
osmp.Chr04:17732117--17739146,17743078--17750241	1924	1976	1531	2423
osmp.Chr04:17739161--17743081,17746367--17750241	1734	1688	1319	2094
osmp.Chr04:17739258--17740577,17751848--17753167	2096	1970	1597	2309
osmp.Chr04:17808280--17809557,17818661--17819935	1420	1155	880	2315
osmp.Chr04:17808280--17809598,17811125--17812443	958	582	495	1291
osmp.Chr04:17932611--17933309,17934044--17934743	606	448	532	552
osmp.Chr04:18272882--18273879,18280890--18281827	4093	4414	4474	6951
osmp.Chr04:18272882--18273881,18275482--18276390	2380	2460	2838	4134
osmp.Chr04:18581281--18581961,18589188--18589837	2825	2221	2403	4054
osmp.Chr04:18588873--18589318,18589349--18589791	1688	1257	1274	2053
osmp.Chr04:18659097--18671085,18673354--18685354	2428	3472	2111	4222
osmp.Chr04:18668092--18673354,18680083--18685354	1943	2434	1371	3029
osmp.Chr04:18677909--18680088,18685355--18687532	1706	1950	1096	2106
osmp.Chr04:18679418--18682370,18690677--18693629	2132	2508	1645	3238
osmp.Chr04:18728632--18729049,18740563--18741002	2985	3278	2840	4981
osmp.Chr04:18729929--18731577,18738141--18739804	2871	3158	2725	4858
osmp.Chr04:18771085--18772033,18779062--18780011	3477	3047	2209	3237
osmp.Chr04:18772429--18773958,18777509--18779044	3332	2870	2054	2921
osmp.Chr04:18777509--18779044,18788294--18789828	2346	1775	1126	1135
osmp.Chr04:18779062--18780037,18782617--18783559	229	230	238	316
osmp.Chr04:18779062--18780134,18786824--18787897	354	427	324	499
osmp.Chr04:18782617--18783813,18796008--18797232	1597	1905	1151	1647
osmp.Chr04:18782617--18783822,18798156--18799387	1869	3250	1433	1840
osmp.Chr04:18786927--18788807,18797509--18799387	1753	3025	1343	1763
osmp.Chr04:18786927--18789828,18794326--18797232	1532	1968	1080	1465
osmp.Chr04:18789243--18789828,18793513--18794100	782	1316	724	775
osmp.Chr04:18794101--18797254,18810213--18813360	2699	4037	2898	4488
osmp.Chr04:18797509--18799409,18810213--18812109	1993	3476	2465	3652
osmp.Chr04:18806424--18809257,18810261--18813094	1010	1384	1275	1934
osmp.Chr04:18806424--18809257,18819159--18821994	1514	2078	1869	2650
osmp.Chr04:18808348--18809314,18823246--18824212	1556	2076	2079	2971
osmp.Chr04:18886854--18891245,18894561--18898955	2005	1591	1399	2435
osmp.Chr04:18897115--18898719,18899043--18900637	898	884	1007	1184
osmp.Chr04:18897115--18898719,18907971--18909564	2275	1589	1774	2168
osmp.Chr04:18932276--18932747,18939983--18940455	3015	4034	4408	6884
osmp.Chr04:18938754--18940083,18953687--18955005	1485	1415	980	1346
osmp.Chr04:18955016--18955462,18960378--18960825	632	759	608	719
osmp.Chr04:18958307--18960389,18967256--18969339	1337	1455	1061	1748
osmp.Chr04:18970848--18972405,18981045--18982607	1764	2140	1141	2235
osmp.Chr04:18979068--18980800,18980870--18982607	1291	1542	925	1832
osmp.Chr04:18979318--18980800,18988367--18989848	1714	1963	1316	2596
osmp.Chr04:18984712--18985753,18996461--18997582	1474	1425	961	2296
osmp.Chr04:18986064--18986993,18994744--18995673	1176	1129	737	2075
osmp.Chr04:18987711--18988371,18992472--18993130	936	867	642	1627
osmp.Chr04:18988297--18989848,18998939--19000490	1792	1912	1450	2948
osmp.Chr04:18998106--19000216,19011936--19014048	1910	2239	2326	4058
osmp.Chr04:19002099--19004947,19005960--19008820	477	656	714	1242
osmp.Chr04:19002406--19003768,19015643--19017012	2479	2001	2541	4496
osmp.Chr04:19003664--19004451,19014853--19015595	1391	1543	1645	3105
osmp.Chr04:19011669--19014048,19021429--19023806	2226	1517	1821	3485
osmp.Chr04:19015488--19017272,19030887--19032685	6318	5532	4221	6979
osmp.Chr04:19016275--19017272,19026911--19027932	5808	4971	3637	5786
osmp.Chr04:19061601--19064406,19068213--19071086	1526	1620	1522	2091
osmp.Chr04:19061601--19064406,19076155--19079027	2366	2430	2067	2499
osmp.Chr04:19068186--19071086,19082416--19085291	1904	2272	1501	2278
osmp.Chr04:19076025--19079027,19082416--19085388	1283	1698	1043	1630
osmp.Chr04:19082416--19085291,19097136--19100037	1269	1954	1459	2449
osmp.Chr04:19083245--19083734,19092780--19093269	404	609	523	835
osmp.Chr04:19193771--19194257,19203741--19204193	350	365	356	519
osmp.Chr04:19193771--19194299,19203730--19204193	350	365	356	519
osmp.Chr04:19255517--19256039,19256051--19256575	854	1111	1102	1973
osmp.Chr04:19265376--19266212,19278510--19279298	962	1093	1046	1962
osmp.Chr04:19289071--19289480,19291294--19291703	1853	2132	1889	3103
osmp.Chr04:19395683--19396096,19400571--19400970	6546	8717	7940	12694
osmp.Chr04:1970111--1970855,1985036--1985777	12353	10733	6077	10331
osmp.Chr04:19783067--19783653,19784926--19785510	6	4	5	7
osmp.Chr04:19783067--19784345,19784362--19785510	6	4	5	7
osmp.Chr04:1979484--1980229,1985036--1985777	11218	9340	4890	8118
osmp.Chr04:20020562--20021135,20021167--20021739	43	51	47	89
osmp.Chr04:20388637--20390094,20391758--20393161	1198	1308	1120	1908
osmp.Chr04:20474428--20475821,20481759--20483151	2831	2544	2441	3196
osmp.Chr04:20480777--20481752,20486139--20487117	2746	2449	2248	2973
osmp.Chr04:20483151--20484137,20485671--20486655	539	826	750	1269
osmp.Chr04:20486008--20487098,20487119--20488215	1107	1261	1095	1740
osmp.Chr04:20593767--20594238,20594882--20595335	1608	3120	2835	4499
osmp.Chr04:20682323--20682816,20683093--20683520	1193	1127	2067	2466
osmp.Chr04:2072600--2073056,2074723--2075177	105	138	127	211
osmp.Chr04:20755146--20755647,20756035--20756487	125	111	279	346
osmp.Chr04:2078089--2078516,2085401--2085838	730	571	681	910
osmp.Chr04:2078089--2079163,2093688--2094762	1394	1455	1244	1992
osmp.Chr04:2079566--2080060,2084214--2084685	568	383	545	660
osmp.Chr04:2079566--2080060,2093120--2093590	1311	1263	1251	1735
osmp.Chr04:2080060--2082915,2083012--2085850	650	506	600	823
osmp.Chr04:2080060--2082916,2091917--2094774	1431	1437	1266	1855
osmp.Chr04:2083521--2084124,2094768--2095362	1480	1387	1496	2434
osmp.Chr04:2092427--2093030,2094768--2095362	650	455	811	1065
osmp.Chr04:21038547--21040109,21041466--21042973	3358	3230	2072	3366
osmp.Chr04:21102672--21103073,21103777--21104190	31	7	40	67
osmp.Chr04:2111199--2111678,2122446--2122925	3855	2067	2669	3568
osmp.Chr04:21166360--21166841,21167327--21167771	730	1219	3143	4035
osmp.Chr04:2123808--2126352,2138032--2140530	4647	4042	4672	5538
osmp.Chr04:21325764--21328050,21341599--21343873	3600	4467	4544	7286
osmp.Chr04:2133560--2136356,2137711--2140541	1570	1786	1700	1903
osmp.Chr04:21356415--21360213,21366654--21370522	370	346	342	692
osmp.Chr04:2138028--2140531,2148179--2150666	2998	4729	5601	7403
osmp.Chr04:216497--217075,222169--222756	4222	4876	4555	7463
osmp.Chr04:216497--217075,225452--226039	5718	5784	5472	8445
osmp.Chr04:22414959--22415485,22415486--22416011	0	0	0	2
osmp.Chr04:2245916--2246405,2246825--2247348	1305	1813	1804	2894
osmp.Chr04:2245916--2246405,2259732--2260254	7113	6941	7117	11547
osmp.Chr04:22589869--22590636,22604163--22604922	767	917	885	1434
osmp.Chr04:22661345--22661942,22667926--22668552	1083	1167	1173	2262
osmp.Chr04:22852530--22854251,22868654--22870337	12344	14025	17432	27150
osmp.Chr04:23148885--23150036,23158998--23160135	27	42	59	57
osmp.Chr04:23189809--23191958,23204859--23207011	4088	4965	5652	8804
osmp.Chr04:23236299--23238961,23243656--23246245	1469	1291	1881	2449
osmp.Chr04:23561287--23561829,23563336--23563880	485	399	409	709
osmp.Chr04:23612453--23612897,23613276--23613705	16	16	10	15
osmp.Chr04:24161142--24162793,24168542--24170207	2699	2056	1768	3219
osmp.Chr04:24162833--24164273,24167216--24168654	2123	1595	1281	2260
osmp.Chr04:24207390--24208917,24221084--24222619	1666	1963	1671	3184
